individual;Group;species;subgenus;trait;value
J-0026;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,02
J-0155;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,15
J-0175;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,12
J-0839;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,4
J-0843;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,38
J-0986;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,02
J-1143;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,3
M-0055;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,5
M-0139;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,4
M-0516;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;2,7
M-0517;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;2,7
M-0892;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
M-1139;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3
M-1145;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
M-1166;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
J-0136;Apidae: Apinae: Euglossini;Eulaema cingulata;NA;intertegularDistance;5,02
M-1167;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,1
M-1287;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
M-1392;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;2,9
M-1474;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
M-1490;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;2,7
M-1491;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,2
M-1492;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,1
M-1493;Apidae: Apinae: Euglossini;Euglossa allosticta;Glossura;intertegularDistance;3,3
