Collection date;Plot;Location;Individual;Group;Genus;Species;Morphotype;Trait;Value;Unit;OBS
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0134;g;
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,55;mm;
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,581;mm;
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,835;mm;
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,197;mm;
;OG42;Understory;A-0027;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;2,638;mm;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0117;g;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,674;mm;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,562;mm;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;proboscisLength;3,15;mm;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;prementumLength;1,198;mm;
;OG42;Understory;A-0029;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;glossaLength;1,952;mm;
;OG42;Understory;A-0032;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;weight;0,0153;g;
;OG42;Understory;A-0032;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;wingLength;5,782;mm;
;OG42;Understory;A-0032;Apidae: Apinae: Meliponini;Partamona;Partamona nr peckolti;MEL-20;intertegularDistance;1,561;mm;
